Study,year,Title,Marker,Sample.type,Sensitivity,Specificity,Size,is.size150,Prevalence,is.prevalence05,Case,Control,Stage,GS,is.ed,is.icu,is.pureed,is.pureicu,is.serum,is.wb,is.plasma,is.sirs.vs.sepsis,is.on.admission,is.medical,is.surgical,is.trauma,is.burn,is.sirs,is.shock,is.sepsis3,cutoff,cutoff.unit,Threshold,Sample.collecting,is.af,is.as,is.eu,is.am,Zone,Country,Department,Mean.age,Measurement,is.pediatric,is.bacteremia,cannot.include,is.sepsis3.group,sponsorship,is.sponsorship,Case control design or not,is.case.control,Patient selection (inappropriate exclusion),is.ps.norisk,Index test (prespecified cutoff),is.it.norisk,Reference standard (sepsis criteria),is.rs.norisk,Flow and Timing (did not report the sample timing),is.ft.norisk,Match the review question (include non-SIRS patients),is.ps.app,Index test differ from reiew question,is.it.app,Reference standard does not match the review question,is.rs.app
"(day 1) S. Wang, W. Q. Ruan, Z. Yu, X. Zhao, Z. X. Chen and Q. Li",2020,Validity of presepsin for the diagnosis and prognosis of sepsis in elderly patients admitted to the Intensive Care Unit,presepsin,,0.8205,0.8974,142,0,0.309859155,0,44,98,Sepsis 3.0,,0,1,0,1,1,0,0,,,1,0,,,,,,,,434.79 pg/mL,,0,1,0,0,,,,,,,,,,,0,,0,,0,,0,,1,,1,,1,,1,,1
"(day 3) S. Wang, W. Q. Ruan, Z. Yu, X. Zhao, Z. X. Chen and Q. Li",2020,Validity of presepsin for the diagnosis and prognosis of sepsis in elderly patients admitted to the Intensive Care Unit,presepsin,,0.8333,0.6667,95,0,0.431578947,0,41,54,Sepsis 3.0,,0,1,0,1,1,0,0,,,1,0,,,,,,,,155.53 pg/mL,,0,1,0,0,,,,,,,,,,,0,,0,,0,,0,,1,,1,,1,,1,,1
"(day 1) S. Wang, W. Q. Ruan, Z. Yu, X. Zhao, Z. X. Chen and Q. Li",2020,Validity of presepsin for the diagnosis and prognosis of sepsis in elderly patients admitted to the Intensive Care Unit,PCT,,0.8837,0.8367,142,0,0.309859155,0,44,98,Sepsis 3.0,,0,1,0,1,1,0,0,,,1,0,,,,,,,,1.41 ng/mL,,0,1,0,0,,,,,,,,,,,0,,0,,0,,0,,1,,1,,1,,1,,1
"(day 3) S. Wang, W. Q. Ruan, Z. Yu, X. Zhao, Z. X. Chen and Q. Li",2020,Validity of presepsin for the diagnosis and prognosis of sepsis in elderly patients admitted to the Intensive Care Unit,PCT,,0.8889,0.6216,95,0,0.431578947,0,41,54,Sepsis 3.0,,0,1,0,1,1,0,0,,,1,0,,,,,,,,0.63 ng/mL,,0,1,0,0,,,,,,,,,,,0,,0,,0,,0,,1,,1,,1,,1,,1
"(day 7) S. Wang, W. Q. Ruan, Z. Yu, X. Zhao, Z. X. Chen and Q. Li",2020,Validity of presepsin for the diagnosis and prognosis of sepsis in elderly patients admitted to the Intensive Care Unit,PCT,,0.7778,0.7027,91,0,0.417582418,0,38,53,Sepsis 3.0,,0,1,0,1,1,0,0,,,1,0,,,,,,,,0.34 ng/Ml,,0,1,0,0,,,,,,,,,,,0,,0,,0,,0,,1,,1,,1,,1,,1
"(day 1) S. Wang, W. Q. Ruan, Z. Yu, X. Zhao, Z. X. Chen and Q. Li",2020,Validity of presepsin for the diagnosis and prognosis of sepsis in elderly patients admitted to the Intensive Care Unit,IL-6,,0.775,0.6047,142,0,0.309859155,0,44,98,Sepsis 3.0,,0,1,0,1,1,0,0,,,1,0,,,,,,,,65.35pg/mL,,0,1,0,0,,,,,,,,,,,0,,0,,0,,0,,1,,1,,1,,1,,1
"(day 1) S. Wang, W. Q. Ruan, Z. Yu, X. Zhao, Z. X. Chen and Q. Li",2020,Validity of presepsin for the diagnosis and prognosis of sepsis in elderly patients admitted to the Intensive Care Unit,CRP,,0.7,0.7333,142,0,0.309859155,0,44,98,Sepsis 3.0,,0,1,0,1,1,0,0,,,1,0,,,,,,,,56.00 pg/mL,,0,1,0,0,,,,,,,,,,,0,,0,,0,,0,,1,,1,,1,,1,,1
"X. Hou, C. Liu, H. Lian, Z. Xu, L. Ma, X. Zang, J. Sun, K. Jia and L. Cui",2020,"The value of neutrophil gelatinase-associated lipocalin and citrullinated alpha enolase peptide-1 antibody in diagnosis, classification, and prognosis for patients with sepsis",CRP,,0.884,1,109,0,0.633027523,1,69,40,Sepsis 3.0,,0,0,0,0,0,0,1,,,0,0,,,,,,,,8.02mg/L,,0,1,0,0,,,,,,,,,,,0,,0,,0,,0,,1,,1,,1,,1,,1
"X. Hou, C. Liu, H. Lian, Z. Xu, L. Ma, X. Zang, J. Sun, K. Jia and L. Cui",2020,"The value of neutrophil gelatinase-associated lipocalin and citrullinated alpha enolase peptide-1 antibody in diagnosis, classification, and prognosis for patients with sepsis",PCT,,0.942,0.75,109,0,0.633027523,1,69,40,Sepsis 3.0,,0,0,0,0,0,0,1,,,0,0,,,,,,,,0.06 ng/mL,,0,1,0,0,,,,,,,,,,,0,,0,,0,,0,,1,,1,,1,,1,,1
"X. Hou, C. Liu, H. Lian, Z. Xu, L. Ma, X. Zang, J. Sun, K. Jia and L. Cui",2020,"The value of neutrophil gelatinase-associated lipocalin and citrullinated alpha enolase peptide-1 antibody in diagnosis, classification, and prognosis for patients with sepsis",IL-6,,0.783,0.95,109,0,0.633027523,1,69,40,Sepsis 3.0,,0,0,0,0,0,0,1,,,0,0,,,,,,,,"30.63 pg/
mL",,0,1,0,0,,,,,,,,,,,0,,0,,0,,0,,1,,1,,1,,1,,1
"A. F. Oduncu, G. S. K?yan and S. Yal??nl?",2021,"Comparison of qSOFA, SIRS, and NEWS scoring systems for diagnosis, mortality, and morbidity of sepsis in emergency department",qSOFA,,0.23,0.9943,463,1,0.61987041,1,287,176,Sepsis 3.0,,1,0,1,0,0,0,0,,,0,0,,,,,,,,?2,,0,1,0,0,,,,,,,,,,,0,,1,,0,,1,,1,,0,,1,,1,,1
J. Lee and J. U. Song,2020,Performance of a quick sofa-65 score as a rapid sepsis screening tool during initial emergency department assessment: A propensity score matching study,qSOFA,,0.29,0.98,2441,1,0.382220401,0,933,1508,Sepsis 3.0,,1,0,1,0,0,0,0,,,1,0,,,,,,,,?2,,0,1,0,0,,,,,,,,,,,0,,1,,0,,1,,1,,0,,1,,1,,1
J. Lee and J. U. Song,2020,Performance of a quick sofa-65 score as a rapid sepsis screening tool during initial emergency department assessment: A propensity score matching study,SIRS,,0.66,0.56,2441,1,0.382220401,0,933,1508,Sepsis 3.0,,1,0,1,0,0,0,0,,,1,0,,,,,,,,?2,,0,1,0,0,,,,,,,,,,,0,,1,,0,,1,,1,,0,,1,,1,,1
"J. Luo, W. Jiang, L. Weng, J. Peng, X. Hu, C. Wang, G. Liu, H. Huang and B. Du",2019,Usefulness of qSOFA and SIRS scores for detection of incipient sepsis in general ward patients: A prospective cohort study,qSOFA,,0.53,0.87,409,1,0.5599022,1,229,180,Sepsis 3.0,,0,0,0,0,0,0,0,,,0,0,,,,,,,,2,,0,1,0,0,,,,,,,,,,,0,,1,,0,,1,,1,,1,,1,,1,,1
"J. Luo, W. Jiang, L. Weng, J. Peng, X. Hu, C. Wang, G. Liu, H. Huang and B. Du",2019,Usefulness of qSOFA and SIRS scores for detection of incipient sepsis in general ward patients: A prospective cohort study,SIRS,,0.98,0.18,409,1,0.5599022,1,229,180,Sepsis 3.0,,0,0,0,0,0,0,0,,,0,0,,,,,,,,2,,0,1,0,0,,,,,,,,,,,0,,1,,0,,1,,1,,1,,1,,1,,1
"J. M. Williams, J. H. Greenslade, J. V. McKenzie, K. Chu, A. F. T. Brown and J. Lipman",2017,"Systemic Inflammatory Response Syndrome, Quick Sequential Organ Function Assessment, and Organ Dysfunction: Insights From a Prospective Database of ED Patients With Infection",SIRS,,0.721,0.61,8871,1,0.244166385,0,2166,6705,Sepsis 3.0,,1,0,1,0,0,0,0,,,1,0,,,,,,,,2,,0,0,0,0,,,,,,,,,,,0,,1,,0,,1,,1,,1,,1,,1,,1
"J. M. Williams, J. H. Greenslade, J. V. McKenzie, K. Chu, A. F. T. Brown and J. Lipman",2017,"Systemic Inflammatory Response Syndrome, Quick Sequential Organ Function Assessment, and Organ Dysfunction: Insights From a Prospective Database of ED Patients With Infection",SOFA,,0.297,0.961,8871,1,0.244166385,0,2166,6705,Sepsis 3.0,,1,0,1,0,0,0,0,,,1,0,,,,,,,,2,,0,0,0,0,,,,,,,,,,,0,,1,,0,,1,,1,,1,,1,,1,,1
"H. K. Park, W. Y. Kim, M. C. Kim, W. Jung and B. S. Ko",2017,Quick sequential organ failure assessment compared to systemic inflammatory response syndrome for predicting sepsis in emergency department,SOFA,,0.35,0.99,1009,1,0.621407334,1,627,382,organ failure of Sepsis 1.0,,1,0,1,0,0,0,0,,,1,0,,,,,,,,2,,0,1,0,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"M. Kim, S. Ahn, W. Y. Kim, C. H. Sohn, D. W. Seo, Y. S. Lee and K. S. Lim",2017,"Predictive performance of the quick Sequential Organ Failure Assessment score as a screening tool for sepsis, mortality, and intensive care unit admission in patients with febrile neutropenia",SOFA,,0.14,0.98,615,1,0.162601626,0,100,515,Sepsis 3.0,,0,1,0,1,0,0,0,,,1,0,,,,,,,,missing,,0,1,0,0,,,,,,,,,,,0,,1,,0,,1,,1,,1,,1,,1,,1
"E. J. Giamarellos-Bourboulis, T. Tsaganos, I. Tsangaris, M. Lada, C. Routsi, D. Sinapidis, M. Koupetori, M. Bristianou, G. Adamis, K. Mandragos, G. N. Dalekos, I. Kritselis, G. Giannikopoulos, I. Koutelidakis, M. Pavlaki, E. Antoniadou, G. Vlachogiannis, V. Koulouras, A. Prekates, G. Dimopoulos, A. Koutsoukou, I. Pnevmatikos, A. Ioakeimidou, A. Kotanidou, S. E. Orfanos, A. Armaganidis and C. Gogos",2017,Validation of the new Sepsis-3 definitions: proposal for improvement in early risk identification,SOFA,,0.608,0.872,1063,1,0.911571025,1,969,94,Sepsis 3.0,,0,1,0,1,0,0,0,,,1,0,,,,,,,,2,,0,0,1,0,,,,,,,,,,,0,,1,,0,,1,,1,,1,,1,,1,,1
"?. Askim, F. Moser, L. T. Gustad, H. Stene, M. Gundersen, B. O. ?svold, J. Dale, L. P. Bj?rnsen, J. K. Dam?s and E. Sollig?rd",2017,Poor performance of quick-SOFA (qSOFA) score in predicting severe sepsis and mortality - a prospective study of patients admitted with infection to the emergency department,SIRS,,0.74,0.72,1535,1,0.070358306,0,108,1427,severe sepsis of Sepsis 2.0,,1,0,1,0,1,0,0,,,1,0,,,,,,,,2,,0,0,1,0,,,,,,,,,,,0,,1,,0,,1,,1,,1,,1,,1,,1
"?. Askim, F. Moser, L. T. Gustad, H. Stene, M. Gundersen, B. O. ?svold, J. Dale, L. P. Bj?rnsen, J. K. Dam?s and E. Sollig?rd",2017,Poor performance of quick-SOFA (qSOFA) score in predicting severe sepsis and mortality - a prospective study of patients admitted with infection to the emergency department,SOFA,,0.32,0.98,1535,1,0.070358306,0,108,1427,severe sepsis of Sepsis 2.0,,1,0,1,0,1,0,0,,,1,0,,,,,,,,2,,0,0,1,0,,,,,,,,,,,0,,1,,0,,1,,1,,1,,1,,1,,1
